"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2016";"k$";"13571,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2016";"k$";"13701,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2016";"k$";"13433,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2016";"k$";"14004,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2016";"k$";"13561,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2016";"k$";"14345,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2017";"k$";"15714,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2017";"k$";"14334,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2017";"k$";"16054,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2017";"k$";"15262,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2017";"k$";"13011,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2017";"k$";"13065,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2017";"k$";"13231,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2017";"k$";"14867,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2017";"k$";"14216,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2017";"k$";"15043,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2017";"k$";"14686,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2017";"k$";"14937,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2018";"k$";"16805,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2018";"k$";"14737,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2018";"k$";"17034,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2018";"k$";"16369,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2018";"k$";"15901,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2018";"k$";"14449,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2018";"k$";"14377,5";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"01-1999";"k$";"1010,2";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"02-1999";"k$";"920,7";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"03-1999";"k$";"1031";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"04-1999";"k$";"1025,8";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"05-1999";"k$";"1069,3";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"06-1999";"k$";"1008,3";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"07-1999";"k$";"979,8";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"08-1999";"k$";"962,8";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"09-1999";"k$";"929,4";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"10-1999";"k$";"961,1";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"11-1999";"k$";"938,8";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"12-1999";"k$";"989,1";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"01-2000";"k$";"1008,2";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"02-2000";"k$";"950,9";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"03-2000";"k$";"1028,4";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"04-2000";"k$";"1006,3";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"05-2000";"k$";"1043,9";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"06-2000";"k$";"1007,6";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"07-2000";"k$";"980,6";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"08-2000";"k$";"957,7";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"09-2000";"k$";"941,1";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"10-2000";"k$";"978,5";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"11-2000";"k$";"947,9";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"12-2000";"k$";"997,4";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"01-2001";"k$";"1012,5";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"02-2001";"k$";"922,1";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"03-2001";"k$";"1030,6";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"04-2001";"k$";"1014,5";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"05-2001";"k$";"1060,2";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"06-2001";"k$";"1014";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"07-2001";"k$";"1008";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"08-2001";"k$";"982,4";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"09-2001";"k$";"957,5";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"10-2001";"k$";"996,7";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"11-2001";"k$";"972,3";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"12-2001";"k$";"1032,4";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"01-2002";"k$";"1055,8";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"02-2002";"k$";"958,2";""
"Frais de mise en marché du lait ";"Administration du plan conjoint";"Québec";"03-2002";"k$";"1062,8";""
