"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"09-2001";"kg";"8882737";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"10-2001";"kg";"9207350";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"11-2001";"kg";"8851640";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"12-2001";"kg";"9168112";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"01-2002";"kg";"9157518";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"02-2002";"kg";"8282201";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"03-2002";"kg";"9170532";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"04-2002";"kg";"8843108";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"05-2002";"kg";"9152889";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"06-2002";"kg";"8873061";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"07-2002";"kg";"9142233";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"08-2002";"kg";"9069094";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"09-2002";"kg";"8823403";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"10-2002";"kg";"9041670";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"11-2002";"kg";"8769649";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"12-2002";"kg";"9017076";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"01-2003";"kg";"9109309";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"02-2003";"kg";"8228133";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"03-2003";"kg";"9106224";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"04-2003";"kg";"8816889";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"05-2003";"kg";"9120869";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"06-2003";"kg";"8831948";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"07-2003";"kg";"9133077";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"08-2003";"kg";"9137924";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"09-2003";"kg";"8837026";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"10-2003";"kg";"9132139";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"11-2003";"kg";"8845664";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"12-2003";"kg";"9141921";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"01-2004";"kg";"9145227";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"02-2004";"kg";"8553517";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"03-2004";"kg";"9139553";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"04-2004";"kg";"8857763";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"05-2004";"kg";"9157627";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"06-2004";"kg";"8871701";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"07-2004";"kg";"9168053";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"08-2004";"kg";"9195709";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"09-2004";"kg";"8920935";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"10-2004";"kg";"9257577";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"11-2004";"kg";"8982566";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"12-2004";"kg";"9239244";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"01-2005";"kg";"9281613";""
"Droit de production (matière grasse) ";"Mensuel";"Québec";"02-2005";"kg";"8408501";""
